tripid,faremethod,fare,loc_from,loc_to,driverid,custid,distance,duration
761,1,1041,20,14,16,99,21,10
762,3,499,23,6,25,47,2,4
763,1,1421,18,20,1,10,12,18
764,3,1423,2,1,15,46,7,17
765,2,697,27,15,21,48,8,7
766,4,1135,12,6,11,9,15,13
767,4,715,15,26,21,42,20,13
768,3,1082,23,35,19,22,12,12
769,4,647,31,13,25,55,10,11
770,2,1251,1,11,7,31,19,10
771,3,587,13,37,6,24,22,3
772,3,492,32,10,17,41,19,10
773,1,1434,7,3,20,41,16,18
774,3,510,5,13,30,13,11,10
775,1,1135,11,6,12,68,15,3
776,3,398,3,20,17,11,27,18
777,3,73,2,9,1,46,4,18
778,3,1366,36,15,9,47,18,7
779,2,1068,27,9,17,75,23,18
780,2,1417,18,12,25,34,9,13
781,3,649,26,8,6,22,2,19
782,3,1031,29,3,24,62,6,23
783,3,400,29,7,30,8,18,15
784,1,196,2,17,23,84,3,2
785,1,1409,17,28,14,17,22,11
786,2,441,34,12,28,59,4,16
787,3,59,7,1,25,47,25,2
788,1,1155,12,20,22,93,27,23
789,2,96,4,21,5,12,9,9
790,1,121,18,1,22,4,15,17
791,3,1270,33,1,20,61,11,18
792,2,387,21,23,5,53,2,4
793,1,634,3,37,1,29,13,8
794,1,1075,15,29,23,35,4,5
795,1,636,19,16,30,37,25,4
796,1,388,35,27,9,83,16,20
797,1,435,9,10,1,93,19,24
798,3,1089,20,29,17,2,9,18
799,4,652,23,28,1,22,12,15
800,2,291,37,29,12,73,11,18
801,4,638,9,7,4,6,2,10
802,1,368,3,8,9,11,19,1
803,3,1191,2,15,29,71,6,11
804,2,382,14,22,26,46,2,5
805,4,1056,11,26,23,85,26,7
806,3,1259,5,9,15,55,25,18
807,2,1161,26,11,8,18,27,20
808,3,896,18,32,8,33,26,4
809,2,1425,19,35,17,92,13,1
810,3,871,28,25,12,81,14,11
811,2,512,16,30,26,14,23,10
812,2,985,37,7,6,17,10,11
813,2,704,17,25,24,87,14,19
814,4,444,25,34,7,12,10,16
815,2,1075,20,28,22,67,20,1
816,3,79,18,10,27,15,10,12
817,1,680,26,3,10,32,4,5
818,2,865,20,28,5,43,21,15
819,2,48,25,25,25,51,8,4
820,2,78,19,3,30,61,25,16
821,2,83,20,37,21,84,13,16
822,1,762,25,17,7,47,3,24
823,1,436,14,36,7,32,26,11
824,4,536,9,2,16,44,20,2
825,3,1164,17,3,12,76,24,8
826,2,1138,31,14,29,2,21,21
827,2,1449,11,8,9,75,11,4
828,1,771,22,34,14,4,21,9
829,1,1039,24,14,6,79,12,24
830,3,1346,19,18,30,98,7,20
831,1,59,7,20,9,16,22,15
832,2,88,31,25,30,15,27,23
833,4,672,14,19,20,75,3,16
834,4,529,12,1,15,94,9,2
835,3,1383,19,5,19,81,17,7
836,3,951,3,1,15,16,10,18
837,4,339,5,31,12,16,21,19
838,4,1420,28,24,12,92,17,15
839,4,56,10,12,26,15,10,14
840,2,296,23,11,27,19,19,14
841,1,755,6,4,4,20,3,18
842,4,751,27,29,5,66,21,10
843,3,1162,35,24,27,1,11,22
844,3,912,9,20,23,30,11,6
845,4,122,12,9,2,97,15,13
846,4,1004,33,15,12,32,21,4
847,3,1362,18,37,12,48,6,12
848,1,1479,9,33,18,92,2,21
849,2,706,14,27,22,46,15,22
850,3,373,11,13,8,78,27,23
851,3,682,18,3,6,60,3,24
852,2,541,9,37,10,88,16,18
853,4,468,24,35,29,69,19,23
854,2,908,33,26,18,21,21,14
855,2,1214,27,34,20,4,15,12
856,4,1276,9,22,21,93,14,17
857,4,1184,23,24,26,94,27,11
858,1,645,1,21,1,51,19,19
859,3,602,15,29,22,56,21,21
860,4,971,15,28,28,24,13,20
861,4,285,28,20,1,46,21,12
862,2,429,17,35,27,70,16,11
863,4,83,2,5,15,28,13,7
864,4,1240,5,25,12,93,15,8
865,3,405,10,15,16,64,15,12
866,1,1373,17,30,17,9,12,6
867,3,336,35,22,15,23,27,23
868,1,1096,28,20,30,35,2,8
869,4,330,23,34,20,63,9,24
870,2,1360,8,15,19,27,2,20
871,4,1367,10,24,18,15,23,23
872,1,397,37,32,26,35,11,9
873,4,74,25,36,11,24,3,15
874,3,1494,22,22,15,83,26,15
875,1,204,32,16,17,74,27,16
876,3,1390,20,24,21,44,10,10
877,1,1143,31,4,29,42,15,13
878,4,1294,14,31,2,76,15,16
879,1,736,32,34,1,57,26,8
880,4,965,17,11,14,80,18,19
881,1,619,14,26,21,96,17,12
882,2,231,18,12,12,81,16,21
883,2,1045,10,12,30,33,17,14
884,3,69,32,14,12,25,16,2
885,4,560,29,33,8,41,3,3
886,2,413,5,3,22,28,6,10
887,1,1159,2,16,12,28,8,10
888,4,781,35,19,21,62,2,6
889,2,1080,21,13,3,44,7,5
890,2,1390,9,30,11,7,12,14
891,4,986,17,12,7,5,25,16
892,2,436,36,14,16,36,22,7
893,4,663,1,21,16,29,12,14
894,4,1178,6,22,30,84,6,16
895,3,1444,12,29,20,37,5,1
896,1,794,13,13,2,81,2,13
897,4,1018,19,19,13,43,17,7
898,3,340,28,28,8,61,13,14
899,3,1138,16,8,12,35,18,7
900,4,1283,29,13,5,64,11,6
901,2,1011,11,21,16,71,14,8
902,1,1064,31,32,26,53,10,22
903,1,682,32,30,16,92,20,22
904,2,93,33,23,21,22,9,2
905,1,1434,10,33,24,90,20,13
906,1,570,2,33,16,29,23,20
907,1,1285,10,36,13,80,20,9
908,1,599,18,25,7,42,10,19
909,1,233,10,29,17,90,5,19
910,3,410,20,35,10,54,3,4
911,1,1500,31,8,27,54,22,16
912,1,438,1,11,23,84,12,22
913,2,739,35,36,10,69,19,8
914,4,279,11,1,20,27,7,18
915,2,357,24,26,17,50,10,13
916,2,195,3,8,28,97,15,12
917,4,1379,6,37,10,73,3,10
918,1,641,30,24,4,10,17,17
919,4,928,18,37,30,54,22,13
920,4,978,12,2,26,65,24,3
921,4,77,18,14,3,44,5,8
922,2,947,37,27,20,17,17,14
923,1,572,35,25,26,99,6,8
924,1,788,13,14,12,49,8,3
925,2,754,24,25,14,19,13,7
926,1,1023,25,24,3,33,18,21
927,2,1108,37,15,2,67,13,9
928,4,304,2,25,13,74,25,3
929,4,99,30,23,4,58,21,3
930,4,449,15,6,23,95,11,15
931,1,658,34,28,30,62,16,21
932,2,1465,13,35,19,6,7,23
933,3,1237,31,4,5,7,27,13
934,3,552,9,12,22,67,10,10
935,4,428,35,34,8,61,15,9
936,4,1414,18,9,28,38,15,22
937,4,138,22,32,1,55,27,18
938,4,1167,21,5,27,60,6,7
939,2,128,9,9,23,39,12,2
940,1,896,13,37,25,70,21,16
941,4,734,24,18,1,8,27,14
942,2,1038,10,26,14,35,4,8
943,1,432,18,9,12,21,19,19
944,3,1288,29,31,20,74,8,12
945,3,130,6,22,21,98,16,12
946,1,240,31,24,29,10,14,19
947,1,709,31,20,18,55,15,14
948,3,486,15,6,21,80,6,7
949,4,728,6,4,24,69,3,19
950,3,576,36,15,24,1,24,2
951,1,317,19,24,18,45,15,7
952,3,363,26,23,16,91,12,13
953,2,213,37,31,9,15,21,9
954,3,114,1,16,5,4,13,4
955,3,1442,18,10,8,20,21,9
956,2,981,32,9,13,28,3,21
957,4,1063,23,13,20,28,20,2
958,4,973,35,21,25,30,15,7
959,2,1032,14,25,27,5,6,20
960,4,241,8,35,10,67,22,15
961,3,1276,21,5,1,43,24,19
962,4,1334,12,27,16,30,23,19
963,1,829,17,35,4,96,14,5
964,4,600,8,36,6,77,10,14
965,4,1023,12,34,26,96,17,24
966,4,369,25,3,18,86,23,12
967,1,1433,11,21,12,40,11,6
968,4,274,36,24,20,47,25,6
969,2,61,20,33,4,91,22,1
970,2,846,36,10,28,15,17,5
971,2,336,15,5,29,97,24,6
972,3,740,13,27,10,49,15,12
973,4,1198,27,20,1,26,19,8
974,3,840,19,31,19,13,19,4
975,1,391,22,12,21,1,14,10
976,1,128,35,5,15,68,24,24
977,3,1003,1,2,3,43,11,24
978,4,563,14,24,12,34,11,23
979,4,1245,36,32,27,48,21,20
980,1,809,20,5,22,68,25,14
981,3,695,5,11,3,29,6,20
982,2,1499,4,23,20,13,22,23
983,4,1475,1,15,14,92,27,6
